"","SKU.Code","Design.No.","Stock","Category","Size","Color"
"110","BL095-M","BL095",34,"BLOUSE","M","Multicolor"
"111","BL095-S","BL095",51,"BLOUSE","S","Multicolor"
"112","BL095-XL","BL095",26,"BLOUSE","XL","Multicolor"
"113","BL095-XS","BL095",59,"BLOUSE","XS","Multicolor"
"114","BL095-XXL","BL095",32,"BLOUSE","XXL","Multicolor"
"115","BL096-L","BL096",2,"BLOUSE","L","Beige"
"116","BL096-M","BL096",2,"BLOUSE","M","Beige"
"117","BL096-S","BL096",8,"BLOUSE","S","Beige"
"118","BL096-XL","BL096",2,"BLOUSE","XL","Beige"
"119","BL096-XS","BL096",8,"BLOUSE","XS","Beige"
"120","BL096-XXL","BL096",2,"BLOUSE","XXL","Beige"
"121","BL097-L","BL097",42,"BLOUSE","L","Maroon"
"122","BL097-M","BL097",25,"BLOUSE","M","Maroon"
"123","BL097-S","BL097",39,"BLOUSE","S","Maroon"
"124","BL097-XL","BL097",11,"BLOUSE","XL","Maroon"
"125","BL097-XS","BL097",9,"BLOUSE","XS","Maroon"
"126","BL097-XXL","BL097",35,"BLOUSE","XXL","Maroon"
"127","BL098-L","BL098",25,"BLOUSE","L","Brown"
"128","BL098-M","BL098",31,"BLOUSE","M","Brown"
"129","BL098-S","BL098",39,"BLOUSE","S","Brown"
"130","BL098-XL","BL098",34,"BLOUSE","XL","Brown"
"131","BL098-XS","BL098",31,"BLOUSE","XS","Brown"
"132","BL098-XXL","BL098",27,"BLOUSE","XXL","Brown"
"133","BL099-L","BL099",5,"BLOUSE","L","Black"
"134","BL099-M","BL099",6,"BLOUSE","M","Black"
"135","BL099-S","BL099",9,"BLOUSE","S","Black"
"136","BL099-XL","BL099",6,"BLOUSE","XL","Black"
"137","BL099-XS","BL099",12,"BLOUSE","XS","Black"
"138","BL099-XXL","BL099",4,"BLOUSE","XXL","Black"
"139","BL100-L","BL100",4,"BLOUSE","L","Green"
"140","BL100-M","BL100",5,"BLOUSE","M","Green"
"141","BL100-S","BL100",6,"BLOUSE","S","Green"
"142","BL100-XL","BL100",8,"BLOUSE","XL","Green"
"143","BL100-XS","BL100",9,"BLOUSE","XS","Green"
"144","BL100-XXL","BL100",5,"BLOUSE","XXL","Green"
"145","BL101-L","BL101",2,"BLOUSE","L","Grey"
"146","BL101-M","BL101",3,"BLOUSE","M","Grey"
"147","BL101-S","BL101",8,"BLOUSE","S","Grey"
"148","BL101-XL","BL101",4,"BLOUSE","XL","Grey"
"149","BL101-XS","BL101",6,"BLOUSE","XS","Grey"
"150","BL101-XXL","BL101",2,"BLOUSE","XXL","Grey"
"151","BL102-L","BL102",7,"BLOUSE","L","Navy Blue"
"152","BL102-M","BL102",5,"BLOUSE","M","Navy Blue"
"153","BL102-S","BL102",16,"BLOUSE","S","Navy Blue"
"154","BL102-XL","BL102",19,"BLOUSE","XL","Navy Blue"
"155","BL102-XS","BL102",16,"BLOUSE","XS","Navy Blue"
"156","BL102-XXL","BL102",6,"BLOUSE","XXL","Navy Blue"
"157","BL103-L","BL103",7,"BLOUSE","L","Maroon"
"158","BL103-M","BL103",3,"BLOUSE","M","Maroon"
"159","BL103-S","BL103",29,"BLOUSE","S","Maroon"
"160","BL103-XL","BL103",8,"BLOUSE","XL","Maroon"
"161","BL103-XS","BL103",27,"BLOUSE","XS","Maroon"
"162","BL103-XXL","BL103",4,"BLOUSE","XXL","Maroon"
"163","BL104-L","BL104",32,"BLOUSE","L","Black"
"164","BL104-M","BL104",49,"BLOUSE","M","Black"
"165","BL104-S","BL104",14,"BLOUSE","S","Black"
"166","BL104-XL","BL104",20,"BLOUSE","XL","Black"
"167","BL104-XS","BL104",29,"BLOUSE","XS","Black"
"168","BL104-XXL","BL104",26,"BLOUSE","XXL","Black"
"169","BL107-L","BL107",2,"BLOUSE","L","White"
"170","BL107-M","BL107",2,"BLOUSE","M","White"
"171","BL107-S","BL107",15,"BLOUSE","S","White"
"172","BL107-XL","BL107",3,"BLOUSE","XL","White"
"173","BL107-XS","BL107",6,"BLOUSE","XS","White"
"174","BL107-XXL","BL107",4,"BLOUSE","XXL","White"
"175","BL109-L","BL109",23,"BLOUSE","L","Gold"
"176","BL109-M","BL109",37,"BLOUSE","M","Gold"
"177","BL109-S","BL109",34,"BLOUSE","S","Gold"
"178","BL109-XL","BL109",17,"BLOUSE","XL","Gold"
"179","BL109-XS","BL109",15,"BLOUSE","XS","Gold"
"180","BL109-XXL","BL109",9,"BLOUSE","XXL","Gold"
"181","BL110-L","BL110",8,"BLOUSE","L","Red"
"182","BL110-M","BL110",7,"BLOUSE","M","Red"
"183","BL110-S","BL110",18,"BLOUSE","S","Red"
"184","BL110-XL","BL110",8,"BLOUSE","XL","Red"
"185","BL110-XS","BL110",16,"BLOUSE","XS","Red"
"186","BL110-XXL","BL110",5,"BLOUSE","XXL","Red"
"187","BL111-L","BL111",9,"BLOUSE","L","Black"
"188","BL111-M","BL111",6,"BLOUSE","M","Black"
"189","BL111-S","BL111",11,"BLOUSE","S","Black"
"190","BL111-XL","BL111",4,"BLOUSE","XL","Black"
"191","BL111-XS","BL111",13,"BLOUSE","XS","Black"
"192","BL111-XXL","BL111",2,"BLOUSE","XXL","Black"
"193","BL113-L","BL113",4,"BLOUSE","L","Maroon"
